City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
101,Port Alfred,ZA,64.18,overcast clouds,-33.5906,26.891,
102,Mackay,AU,71.69,scattered clouds,-21.15,149.2,
103,Sola,VU,79.11,moderate rain,-13.8833,167.55,
104,Nikolskoye,RU,31.89,scattered clouds,59.7035,30.7861,
106,Almaznyy,RU,55.42,broken clouds,48.0448,40.045,
107,Port-Gentil,GA,80.94,overcast clouds,-0.7193,8.7815,
108,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,
109,Ribeira Grande,PT,63.0,few clouds,38.5167,-28.7,
110,Lompoc,US,61.92,mist,34.6391,-120.4579,
113,Meulaboh,ID,78.35,overcast clouds,4.1363,96.1285,
114,Hobart,AU,55.26,overcast clouds,-42.8794,147.3294,
115,Nesoddtangen,NO,46.51,broken clouds,59.8655,10.6594,
116,Lagoa,PT,58.89,clear sky,39.05,-27.9833,
117,Glens Falls,US,49.21,clear sky,43.3095,-73.644,
118,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,
119,Hit,IQ,78.12,scattered clouds,33.6416,42.8251,
122,Rocha,UY,72.95,clear sky,-34.4833,-54.3333,
123,Stonewall,CA,30.78,overcast clouds,50.1344,-97.3268,
124,Sungaipenuh,ID,63.37,broken clouds,-2.0833,101.3833,
125,Coffs Harbour,AU,64.13,broken clouds,-30.3,153.1333,
126,Bosaso,SO,80.74,few clouds,11.2842,49.1816,
127,Hilo,US,69.53,moderate rain,19.7297,-155.09,
128,Sao Filipe,CV,72.27,broken clouds,14.8961,-24.4956,
129,Hilton Head Island,US,71.01,clear sky,32.2163,-80.7526,
130,Sitka,US,42.69,overcast clouds,57.0531,-135.33,
131,Shakawe,BW,78.53,broken clouds,-18.3667,21.85,
132,Caravelas,BR,85.3,clear sky,-17.7125,-39.2481,
133,Muros,ES,59.68,clear sky,42.7762,-9.0603,
134,Korla,CN,56.84,broken clouds,41.7597,86.1469,
135,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,
136,Arkansas City,US,60.62,clear sky,37.062,-97.0384,
137,Beyneu,KZ,63.18,overcast clouds,45.3167,55.2,
138,Komsomolskiy,UZ,65.12,clear sky,40.4272,71.7189,
139,Salalah,OM,82.49,clear sky,17.0151,54.0924,
140,Nara,JP,49.5,overcast clouds,34.6851,135.8049,
142,Faanui,PF,81.93,overcast clouds,-16.4833,-151.75,
145,Olafsvik,IS,41.16,moderate rain,64.8945,-23.7142,
146,Altay,CN,34.47,overcast clouds,47.8667,88.1167,
147,Alice Springs,AU,62.15,scattered clouds,-23.7,133.8833,
149,San Clemente,US,62.78,broken clouds,33.427,-117.612,
150,Zhanaozen,KZ,65.7,scattered clouds,43.3,52.8,
152,Umm Lajj,SA,82.56,scattered clouds,25.0213,37.2685,
153,Ancud,CL,52.23,overcast clouds,-41.8697,-73.8203,
154,Tasiilaq,GL,33.96,snow,65.6145,-37.6368,
155,Minab,IR,77.32,clear sky,27.1467,57.0801,
