City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Yar-Sale,RU,2022-03-31 18:56:17,66.8333,70.8333,15.12,79,100,20.24
167,Margate,GB,2022-03-31 18:56:18,51.3813,1.3862,39.69,67,100,18.99
168,Vao,NC,2022-03-31 18:56:18,-22.6667,167.4833,78.39,86,0,11.48
169,Paamiut,GL,2022-03-31 18:56:18,61.994,-49.6678,34.86,97,100,3.02
170,Pangody,RU,2022-03-31 18:56:19,65.85,74.4859,16.43,79,100,21.32
171,Sumenep,ID,2022-03-31 18:56:19,-7.0167,113.8667,79.32,84,94,0.69
172,Pinawa,CA,2022-03-31 18:56:20,50.1489,-95.8811,32.88,64,10,4.45
173,Karad,IN,2022-03-31 18:56:20,17.2833,74.2,77.97,31,1,4.74
174,Los Llanos De Aridane,ES,2022-03-31 18:56:21,28.6585,-17.9182,62.35,81,20,10.36
175,Yellowknife,CA,2022-03-31 18:56:22,62.456,-114.3525,17.42,79,100,11.5
176,Kavieng,PG,2022-03-31 18:56:23,-2.5744,150.7967,81.23,79,100,13.56
177,Inhambane,MZ,2022-03-31 18:56:23,-23.865,35.3833,78.78,94,40,3.44
178,Chuy,UY,2022-03-31 18:56:23,-33.6971,-53.4616,63.25,56,50,13.38
179,Opuwo,NA,2022-03-31 18:56:24,-18.0607,13.84,75.04,57,31,5.77
180,Ashington,GB,2022-03-31 18:56:24,50.9331,-0.3909,40.28,51,0,19.57
181,Puerto Narino,CO,2022-03-31 18:57:25,-3.7703,-70.3831,84.06,79,100,3.53
182,Whitley Bay,GB,2022-03-31 18:57:25,55.0397,-1.4471,39.07,80,95,18.41
183,Katsuura,JP,2022-03-31 18:57:27,35.1333,140.3,48.22,92,100,28.88
184,Hualmay,PE,2022-03-31 18:57:27,-11.0964,-77.6139,74.71,73,24,10.4
185,Ilulissat,GL,2022-03-31 18:57:27,69.2167,-51.1,15.98,94,76,5.3
186,Lavrentiya,RU,2022-03-31 18:57:28,65.5833,-171.0,12.06,81,20,11.41
187,Iqaluit,CA,2022-03-31 18:57:29,63.7506,-68.5145,28.13,92,100,10.36
188,Bathsheba,BB,2022-03-31 18:57:29,13.2167,-59.5167,84.81,61,40,21.85
189,Tiksi,RU,2022-03-31 18:57:29,71.6872,128.8694,1.69,99,100,5.88
190,Isangel,VU,2022-03-31 18:52:47,-19.55,169.2667,79.74,88,100,4.97
191,Goundam,ML,2022-03-31 18:57:30,16.4145,-3.6708,92.01,5,100,6.73
192,Clyde River,CA,2022-03-31 18:57:31,70.4692,-68.5914,5.23,78,20,8.05
193,Rockhampton,AU,2022-03-31 18:57:31,-23.3833,150.5,73.29,73,100,11.5
194,Port Moresby,PG,2022-03-31 18:57:31,-9.4431,147.1797,74.62,94,40,5.75
195,Cherskiy,RU,2022-03-31 18:57:32,68.75,161.3,-16.98,100,100,4.5
196,Mandali,IQ,2022-03-31 18:57:32,33.7499,45.5541,76.01,22,0,7.63
197,Coquimbo,CL,2022-03-31 18:57:33,-29.9533,-71.3436,67.35,61,0,5.97
198,Sayville,US,2022-03-31 18:57:33,40.7359,-73.0821,59.65,85,100,15.99
199,Wewak,PG,2022-03-31 18:57:33,-3.5534,143.6268,78.13,88,100,5.84
200,Xiuyan,CN,2022-03-31 18:57:34,40.2928,123.2744,33.93,57,0,4.9
201,Talnakh,RU,2022-03-31 18:57:34,69.4865,88.3972,18.21,93,100,4.34
202,Esperance,AU,2022-03-31 18:57:34,-33.8667,121.9,64.24,78,98,18.88
203,Muros,ES,2022-03-31 18:57:35,42.7762,-9.0603,55.09,75,14,14.03
204,Suntar,RU,2022-03-31 18:57:35,62.1444,117.6319,30.6,89,100,9.98
205,Visnes,NO,2022-03-31 18:57:36,59.3556,5.2242,39.81,70,0,18.41
206,Georgetown,MY,2022-03-31 18:53:34,5.4112,100.3354,78.73,99,20,3.44
207,Bandarbeyla,SO,2022-03-31 18:57:36,9.4942,50.8122,81.19,79,58,11.65
208,Lensk,RU,2022-03-31 18:57:36,60.7253,114.9278,29.52,90,92,10.38
209,Covington,US,2022-03-31 18:57:37,39.0837,-84.5086,48.07,73,100,7.0
210,Skjervoy,NO,2022-03-31 18:57:37,70.0311,20.9714,26.6,59,100,9.17
211,Calvia,ES,2022-03-31 18:57:37,39.5657,2.5062,55.96,75,100,11.18
212,Alice Springs,AU,2022-03-31 18:57:38,-23.7,133.8833,53.15,58,1,5.75
213,Evensk,RU,2022-03-31 18:57:38,61.95,159.2333,9.41,77,100,9.98
214,Bosaso,SO,2022-03-31 18:57:38,11.2842,49.1816,80.15,79,1,3.0
215,Buarcos,PT,2022-03-31 18:57:39,40.166,-8.8768,57.54,80,4,18.21
216,Bilibino,RU,2022-03-31 18:57:39,68.0546,166.4372,-20.36,96,90,2.28
217,Langarud,IR,2022-03-31 18:57:40,37.197,50.1535,55.45,69,0,2.95
218,Sakti,IN,2022-03-31 18:57:40,22.0333,82.9667,80.73,12,0,4.29
219,Banikoara,BJ,2022-03-31 18:57:40,11.2985,2.4386,94.82,18,4,4.63
220,Kalmunai,LK,2022-03-31 18:57:41,7.4167,81.8167,78.98,86,11,7.36
221,Taree,AU,2022-03-31 18:57:41,-31.9,152.4667,60.73,82,75,11.5
222,Lasa,IT,2022-03-31 18:57:41,46.6166,10.7002,46.36,98,100,3.6
