City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
157,Port Lincoln,AU,60.24,-34.7333,135.8667,
158,Sao Luis,BR,89.8,-2.5297,-44.3028,
160,Tunceli,TR,55.36,39.1083,39.5471,
163,The Valley,AI,81.1,18.217,-63.0578,
165,Nalut,LY,79.84,30.3333,10.85,
167,Kahului,US,72.84,20.8947,-156.47,
168,Boone,US,60.39,39.0334,-92.3335,
169,Bumba,CD,74.61,2.1833,22.4667,
172,Capao Da Canoa,BR,71.11,-29.7456,-50.0097,
173,Springfield,US,57.97,37.2153,-93.2982,
176,Monzon,ES,54.75,41.9108,0.1941,
177,Novo Aripuana,BR,74.75,-5.1206,-60.3797,
178,Georgetown,MY,78.73,5.4112,100.3354,
179,Eirunepe,BR,75.83,-6.6603,-69.8736,
182,Necochea,AR,68.32,-38.5473,-58.7368,
183,Muriwai Beach,NZ,63.86,-36.8167,174.45,
185,Banda Aceh,ID,80.08,5.5577,95.3222,
186,Kavieng,PG,76.57,-2.5744,150.7967,
187,Sambava,MG,77.9,-14.2667,50.1667,
189,Yarmouth,US,50.65,41.7057,-70.2286,
190,Xai-Xai,MZ,77.92,-25.0519,33.6442,
191,Khandbari,NP,69.69,27.3747,87.2039,
192,Luangwa,ZM,76.05,-15.6167,30.4167,
196,Cabo San Lucas,MX,77.61,22.8909,-109.9124,
199,Dawlatabad,AF,65.48,36.4141,64.9053,
200,Khash,IR,68.13,28.2211,61.2158,
202,Kashi,CN,63.61,39.4547,75.9797,
203,Los Llanos De Aridane,ES,62.35,28.6585,-17.9182,
205,Mitu,CO,77.22,1.1983,-70.1733,
209,Dicabisagan,PH,76.57,17.0818,122.4157,
210,Wuan,CN,53.22,31.6836,112.0044,
212,Nhulunbuy,AU,75.81,-12.2333,136.7667,
216,Vitoria Da Conquista,BR,83.17,-14.8661,-40.8394,
218,Westport,US,50.86,41.1415,-73.3579,
225,Yeppoon,AU,71.38,-23.1333,150.7333,
228,Christchurch,NZ,57.94,-43.5333,172.6333,
230,Moron,AR,70.95,-34.6534,-58.6198,
231,Saint-Philippe,RE,74.79,-21.3585,55.7679,
232,Saint-Leu,RE,74.26,-21.15,55.2833,
234,Alhandra,BR,88.02,-7.4386,-34.9144,
239,Kaeo,NZ,59.32,-35.1,173.7833,
240,Pisco,PE,70.02,-13.7,-76.2167,
241,Puerto Escondido,MX,86.59,15.85,-97.0667,
242,Byron Bay,AU,67.89,-28.65,153.6167,
243,Lebu,CL,59.88,-37.6167,-73.65,
244,Sampit,ID,75.99,-2.5333,112.95,
245,East London,ZA,63.54,-33.0153,27.9116,
247,Akhmeta,GE,63.12,42.0311,45.2075,
250,Marsa Matruh,EG,66.4,31.3525,27.2453,
252,Alofi,NU,73.29,-19.0595,-169.9187,
253,Dagua,CO,82.83,3.6569,-76.6886,
261,Cascais,PT,65.52,38.6979,-9.4215,
262,Micoud,LC,84.13,13.8167,-60.9,
263,Iberia,US,74.97,29.9502,-91.7507,
265,Muroto,JP,52.45,33.2833,134.15,
266,Hoa Binh,VN,60.03,20.8133,105.3383,
268,Thinadhoo,MV,83.17,0.5333,72.9333,
271,Wewak,PG,77.47,-3.5534,143.6268,
272,Guayaramerin,BO,77.05,-10.8368,-65.3614,
273,Aleksandrov Gay,RU,59.59,50.147,48.5704,
274,Cortes,ES,50.05,41.9395,-1.4396,
275,Lata,PT,61.92,40.1629,-8.3327,
277,Pagangan,PH,73.33,7.1144,124.5953,
278,Port Blair,IN,84.24,11.6667,92.75,
281,Noumea,NC,82.99,-22.2763,166.4572,
282,Poya,NC,78.01,-21.35,165.15,
283,Jorhat,IN,71.71,26.75,94.2167,
284,Karratha,AU,82.8,-20.7377,116.8463,
285,Japura,ID,76.06,-0.3167,102.35,
290,Chatrapur,IN,80.06,19.35,84.9833,
291,Santa Cruz,BO,77.05,-17.8,-63.1667,
292,Bathsheba,BB,84.81,13.2167,-59.5167,
294,Mount Gambier,AU,53.51,-37.8333,140.7667,
296,Arraial Do Cabo,BR,80.56,-22.9661,-42.0278,
297,Nishihara,JP,63.68,26.1842,127.7558,
298,San Cristobal,VE,78.98,7.7669,-72.225,
299,Ahipara,NZ,62.58,-35.1667,173.1667,
300,Mapimi,MX,77.67,25.8167,-103.85,
301,Auki,SB,76.19,-8.7676,160.7034,
