City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Vardo,NO,2022-04-02 16:40:57,70.3705,31.1107,26.78,70,100,0.87,overcast clouds
81,Malur,IN,2022-04-02 16:40:57,13.0075,77.9378,86.02,39,24,8.25,few clouds
82,Kaitangata,NZ,2022-04-02 16:40:58,-46.2817,169.8464,48.69,94,25,6.2,scattered clouds
83,Kieta,PG,2022-04-02 16:40:58,-6.2167,155.6333,77.92,82,99,2.37,light rain
84,Conde,BR,2022-04-02 16:40:58,-7.2597,-34.9075,87.26,62,40,13.8,scattered clouds
85,Lancaster,US,2022-04-02 16:38:43,40.2504,-76.2499,48.7,52,0,8.05,clear sky
86,Narsaq,GL,2022-04-02 16:40:59,60.9167,-46.05,44.82,81,100,3.76,overcast clouds
87,Kiunga,PG,2022-04-02 16:40:59,-6.1219,141.2906,72.46,96,100,1.79,overcast clouds
88,Bethel,US,2022-04-02 16:40:59,41.3712,-73.414,49.59,49,0,10.36,clear sky
89,Klaksvik,FO,2022-04-02 16:41:00,62.2266,-6.589,41.92,82,88,8.55,overcast clouds
90,Fortuna,US,2022-04-02 16:37:07,40.5982,-124.1573,52.93,85,0,6.91,clear sky
91,Chagoda,RU,2022-04-02 16:41:00,59.164,35.3285,21.67,93,100,5.19,overcast clouds
92,Moscow,RU,2022-04-02 16:40:08,55.7522,37.6156,32.23,97,100,14.25,snow
93,Grand Forks,US,2022-04-02 16:36:47,47.9417,-97.4337,35.53,60,100,14.97,overcast clouds
94,Puerto Ayora,EC,2022-04-02 16:41:01,-0.7393,-90.3518,84.16,91,31,5.01,scattered clouds
95,Osny,FR,2022-04-02 16:42:01,49.0594,2.0618,44.85,55,40,18.41,scattered clouds
96,Butaritari,KI,2022-04-02 16:42:02,3.0707,172.7902,81.39,75,42,14.9,scattered clouds
97,Goundi,TD,2022-04-02 16:42:02,9.3627,17.366,99.45,9,31,3.67,scattered clouds
98,Horadiz,AZ,2022-04-02 16:42:03,39.4488,47.3353,63.37,47,27,1.79,scattered clouds
99,Hailey,US,2022-04-02 16:39:26,43.5196,-114.3153,50.88,46,40,9.22,scattered clouds
100,Chicama,PE,2022-04-02 16:42:03,-7.8447,-79.1469,66.74,62,94,9.51,overcast clouds
101,Port Alfred,ZA,2022-04-02 16:41:39,-33.5906,26.891,64.18,90,100,1.01,overcast clouds
102,Mackay,AU,2022-04-02 16:42:04,-21.15,149.2,71.69,88,40,5.75,scattered clouds
103,Sola,VU,2022-04-02 16:42:05,-13.8833,167.55,79.11,80,100,8.41,moderate rain
104,Nikolskoye,RU,2022-04-02 16:42:06,59.7035,30.7861,31.89,94,48,4.99,scattered clouds
105,Udachnyy,RU,2022-04-02 16:42:06,66.4167,112.4,14.45,100,100,6.51,light snow
106,Almaznyy,RU,2022-04-02 16:42:07,48.0448,40.045,55.42,61,55,16.98,broken clouds
107,Port-Gentil,GA,2022-04-02 16:42:07,-0.7193,8.7815,80.94,75,100,12.06,overcast clouds
108,Maceio,BR,2022-04-02 16:42:08,-9.6658,-35.7353,87.24,51,40,9.22,scattered clouds
109,Ribeira Grande,PT,2022-04-02 16:42:08,38.5167,-28.7,63.0,63,20,16.11,few clouds
110,Lompoc,US,2022-04-02 16:42:09,34.6391,-120.4579,61.92,87,100,7.0,mist
111,Alihe,CN,2022-04-02 16:42:09,50.5667,123.7167,28.92,82,5,3.09,clear sky
112,Tuktoyaktuk,CA,2022-04-02 16:42:09,69.4541,-133.0374,-23.8,76,40,9.22,scattered clouds
113,Meulaboh,ID,2022-04-02 16:42:10,4.1363,96.1285,78.35,85,100,2.57,overcast clouds
114,Hobart,AU,2022-04-02 16:42:10,-42.8794,147.3294,55.26,84,100,6.91,overcast clouds
115,Nesoddtangen,NO,2022-04-02 16:42:11,59.8655,10.6594,46.51,33,51,1.12,broken clouds
116,Lagoa,PT,2022-04-02 16:37:40,39.05,-27.9833,58.89,67,6,11.79,clear sky
117,Glens Falls,US,2022-04-02 16:38:22,43.3095,-73.644,49.21,33,0,8.05,clear sky
118,Kloulklubed,PW,2022-04-02 16:42:11,7.0419,134.2556,73.9,76,100,6.24,overcast clouds
119,Hit,IQ,2022-04-02 16:42:12,33.6416,42.8251,78.12,17,30,5.37,scattered clouds
120,Sakakah,SA,2022-04-02 16:42:12,29.9697,40.2064,90.97,11,100,9.08,overcast clouds
121,Thompson,CA,2022-04-02 16:42:13,55.7435,-97.8558,17.76,57,20,9.22,few clouds
122,Rocha,UY,2022-04-02 16:42:14,-34.4833,-54.3333,72.95,42,0,8.41,clear sky
123,Stonewall,CA,2022-04-02 16:42:14,50.1344,-97.3268,30.78,81,96,12.82,overcast clouds
124,Sungaipenuh,ID,2022-04-02 16:42:15,-2.0833,101.3833,63.37,91,52,0.96,broken clouds
125,Coffs Harbour,AU,2022-04-02 16:38:37,-30.3,153.1333,64.13,94,52,2.3,broken clouds
126,Bosaso,SO,2022-04-02 16:42:15,11.2842,49.1816,80.74,75,13,1.25,few clouds
127,Hilo,US,2022-04-02 16:42:16,19.7297,-155.09,69.53,89,75,5.75,moderate rain
128,Sao Filipe,CV,2022-04-02 16:42:16,14.8961,-24.4956,72.27,77,64,9.44,broken clouds
129,Hilton Head Island,US,2022-04-02 16:40:37,32.2163,-80.7526,71.01,70,0,11.5,clear sky
130,Sitka,US,2022-04-02 16:42:17,57.0531,-135.33,42.69,61,100,18.41,overcast clouds
131,Shakawe,BW,2022-04-02 16:42:17,-18.3667,21.85,78.53,45,70,4.47,broken clouds
132,Caravelas,BR,2022-04-02 16:42:17,-17.7125,-39.2481,85.3,57,9,8.41,clear sky
133,Muros,ES,2022-04-02 16:42:18,42.7762,-9.0603,59.68,43,2,17.29,clear sky
134,Korla,CN,2022-04-02 16:42:18,41.7597,86.1469,56.84,30,65,1.57,broken clouds
135,Saldanha,ZA,2022-04-02 16:42:19,-33.0117,17.9442,75.25,67,0,24.11,clear sky
136,Arkansas City,US,2022-04-02 16:38:47,37.062,-97.0384,60.62,54,0,10.36,clear sky
137,Beyneu,KZ,2022-04-02 16:41:19,45.3167,55.2,63.18,39,100,13.35,overcast clouds
138,Komsomolskiy,UZ,2022-04-02 16:43:20,40.4272,71.7189,65.12,39,9,2.3,clear sky
139,Salalah,OM,2022-04-02 16:43:21,17.0151,54.0924,82.49,78,0,2.3,clear sky
140,Nara,JP,2022-04-02 16:43:21,34.6851,135.8049,49.5,58,99,3.51,overcast clouds
141,Lokosovo,RU,2022-04-02 16:43:21,61.1333,74.8167,13.39,97,80,4.63,broken clouds
142,Faanui,PF,2022-04-02 16:43:22,-16.4833,-151.75,81.93,72,100,5.97,overcast clouds
143,Leshukonskoye,RU,2022-04-02 16:43:22,64.8989,45.7622,15.85,93,83,3.15,broken clouds
144,Pevek,RU,2022-04-02 16:43:23,69.7008,170.3133,-9.85,98,100,2.26,overcast clouds
145,Olafsvik,IS,2022-04-02 16:43:23,64.8945,-23.7142,41.16,96,100,18.28,moderate rain
146,Altay,CN,2022-04-02 16:43:23,47.8667,88.1167,34.47,48,89,9.4,overcast clouds
147,Alice Springs,AU,2022-04-02 16:41:12,-23.7,133.8833,62.15,48,42,3.44,scattered clouds
148,Esterhazy,CA,2022-04-02 16:43:24,50.65,-102.0843,25.65,88,35,4.76,scattered clouds
149,San Clemente,US,2022-04-02 16:43:25,33.427,-117.612,62.78,85,56,3.0,broken clouds
150,Zhanaozen,KZ,2022-04-02 16:43:25,43.3,52.8,65.7,26,28,17.02,scattered clouds
151,Luderitz,NA,2022-04-02 16:42:59,-26.6481,15.1594,64.92,71,0,21.14,clear sky
152,Umm Lajj,SA,2022-04-02 16:43:25,25.0213,37.2685,82.56,39,35,7.72,scattered clouds
153,Ancud,CL,2022-04-02 16:43:26,-41.8697,-73.8203,52.23,82,100,17.54,overcast clouds
154,Tasiilaq,GL,2022-04-02 16:40:23,65.6145,-37.6368,33.96,95,100,26.42,snow
155,Minab,IR,2022-04-02 16:43:26,27.1467,57.0801,77.32,57,0,0.0,clear sky
156,Khazar,RU,2022-04-02 16:43:27,41.9974,48.3332,62.96,55,38,6.93,scattered clouds
157,Port Lincoln,AU,2022-04-02 16:42:47,-34.7333,135.8667,60.24,79,80,10.51,broken clouds
